Bokmål,Nynorsk,Engelsk,"Merknad"
eksakt triangel,eksakt triangel,exact triangle,"Deler av faglitteraturen benytter uttrykket <i>distinguished triangle</i> i stedet for <i>exact triangle</i>. Dette oversettes til distingvert triangel."
nedadgående-kjede-betingelse,minkande-kjede-vilkår,descending chain condition,
oppadgående-kjede-betingelse,aukande-kjede-vilkår,ascending chain condition,
pivot,pivot,pivot,"Ordklasse: substantiv<br>Uttale: [pivå:´]"
fouriersinusrekke,fouriersinusrekkje,Fourier sine series,
fouriercosinusrekke,fouriercosinusrekkje,Fourier cosine series,
definisjonsmengde<br>definisjonsområde,definisjonsmengd<br>definisjonsområde,domain,"Oversettelsen gjelder blant annet når det er snakk om funksjoner og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
spektralfølge,spektralfølgje,spectral sequence,
dedekindgruppe,dedekindgruppe,Dedekind group,
teleskoprekke,teleskoprekkje,telescoping series,
gradkommutativ,gradkommutativ,graded-commutative,
gradkommutativ ring,gradkommutativ ring,graded-commutative ring,
Auslanders defektformel,Auslanders defektformel,Auslander's defect formula,
isotropiundergruppe,isotropiundergruppe,isotropy subgroup,"Synonym: stabilisator"
Burnsides formel,Burnsides formel,Burnside's formula,
rotkropp,rotkropp,splitting field,
p-undergruppe,p-undergruppe,p-subgroup,
like funksjon,like funksjon,even function,"Oversettelsen jevn funksjon (bokmål) og jamn funksjon (nynorsk) er også i bruk."
orden,orden,order,
like permutasjon,like permutasjon,even permutation,"Oversettelsen jevn permutasjon (bokmål) og jamn permutasjon (nynorsk) er også i bruk."
odde permutasjon,odde permutasjon,odd permutation,
indeks,indeks,index,
karakteristikk,karakteristikk,characteristic,
topologisk rom med basispunkt,topologisk rom med basispunkt,pointed topological space<br>topological space with base point,
mangfoldighet med basispunkt,mangfald med basispunkt,manifold with base point<br>pointed manifold,
basispunkt,basispunkt,base point,
punktert omegn,punktert omegn,deleted neighbourhood<br>punctured neighbourhood,
punktert intervall,punktert intervall,deleted interval<br>punctured interval,
underordnet,underordna,subordinate,
vesentlig singularitet,vesentleg singularitet,essential singularity,
likedannet<br>similær,likedanna<br>similær,similar,"Oversettelsen gjelder bruk i lineær algebra og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
likedannet matrise<br>similær matrise,likedanna matrise<br>similær matrise,similar matrix,
isospektral,isospektral,isospectral,
venstreinvers,venstreinvers,left inverse,
høyreinvers,høgreinvers,right inverse,
løsbar,løyseleg,solvable,
kontrapositivt bevis,kontrapositivt bevis<br>kontrapositivt prov,proof by contraposition,"På engelsk kan man bruke <i>contrapositive proof</i> som synonym til <i>proof by contraposition</i>."
kontrapositiv,kontrapositiv,contrapositive,
langeksakt,langeksakt,long exact,
langeksakt følge,langeksakt følgje,long exact sequence,
korteksakt,korteksakt,short exact,
galoiskropp,galoiskropp,Galois field,
galoisgruppe,galoisgruppe,Galois group,
galoisutvidelse,galoisutviding,Galois extension,
hassediagram,hassediagram,Hasse diagram,
deduksjon,deduksjon,deduction,
krumningsradius,krummingsradius,radius of curvature,
dele<br>gå opp i,dele<br>gå opp i,divide,"Et heltall <i>n</i> deler eller går opp i et heltall <i>m</i> dersom <i>n</i> er en faktor i <i>m</i>."
antipodalt punkt,antipodalt punkt,antipodal point,"Synonym: antipode"
endelig tilstandsmaskin,endeleg tilstandsmaskin,finite-state machine,"Synonym: endelig tilstandsautomat<br><br>Endelig tilstandsmaskin forkortes ofte til FSM."
endelig tilstandsautomat,endeleg tilstandsautomat,finite-state automaton,"Synonym: endelig tilstandsmaskin<br><br>Endelig tilstandsautomat forkortes ofte til FSA."
FSM,FSM,FSM,"Genus bokmål: hankjønn<br>Genus nynorsk: hankjønn/hunkjønn<br><br>FSM er en forkortelse for endelig tilstandsmaskin (bokmål) og endeleg tilstandsmaskin (nynorsk) og stammer fra <i>finite-state machine</i>."
FSA,FSA,FSA,"Genus: hankjønn<br><br>FSA er en forkortelse for endelig tilstandsautomat (bokmål) og endeleg tilstandsautomat (nynorsk) og stammer fra <i>finite-state automaton</i>."
verdiområde,verdiområde,codomain,"Oversettelsen gjelder blant annet når det er snakk om funksjoner og utelukker ikke at termen kan benyttes ulikt i andre sammenhenger."
vektorflyt,vektorflyt,vector flow,
symmetri,symmetri,symmetry,
virkning,verknad,action,
kompleksanalytisk,kompleksanalytisk,complex analytic,
divergensteoremet,divergensteoremet,divergence theorem,
algebraens fundamentalteorem,fundamentalteoremet i algebra,fundamental theorem of algebra,
aritmetikkens fundamentalteorem,fundamentalteoremet i aritmetikk,fundamental theorem of arithmetic,
analysens fundamentalteorem,fundamentalteoremet i analyse,fundamental theorem of calculus,
indreregulær,indreregulær,inner regular,
ordningstopologi,ordningstopologi,order topology,
ytreregulær,ytreregulær,outer regular,
reellanalytisk,reellanalytisk,real analytic,
cauchyproblem,cauchyproblem,Cauchy problem,
dirichletproblem,dirichletproblem,Dirichlet problem,
energiestimat,energiestimat,energy estimate,
fundamentalløsning,fundamentalløysing,fundamental solution,
Gagliardo-Nirenberg-Sobolev-ulikheten,Gagliardo-Nirenberg-Sobolev-ulikskapen,Gagliardo–Nirenberg–Sobolev inequality,
höldernorm,höldernorm,Hölder norm,
hölderrom,hölderrom,Hölder space,
laplaceligning<br>laplacelikning,laplacelikning,Laplace equation,
laplaceoperator,laplaceoperator,Laplace operator,
maksimumsprinsipp,maksimumsprinsipp,maximum principle,
middelverdiegenskap,middelverdieigenskap,mean value property,
multiindeks,multiindeks,multiindex,
poincaréulikhet,poincaréulikskap,Poincaré inequality,
poissonligning<br>poissonlikning,poissonlikning,Poisson equation,
kvasilineær,kvasilineær,quasilinear,
regularitet,regularitet,regularity,
Rellich-Kondrachov-kompakthet,Rellich-Kondrachov-kompaktheit,Rellich–Kondrachov compactness,
schrödingerligning<br>schrödingerlikning,schrödingerlikning,Schrödinger equation,
semilineær,semilineær,semilinear,
sobolevfunksjon,sobolevfunksjon,Sobolev function,
sobolevulikhet,sobolevulikskap,Sobolev inequality,
sobolevrom,sobolevrom,Sobolev space,
transportligning<br>transportlikning,transportlikning,transport equation,
svak derivert,svak derivert,weak derivative,
svak løsning,svak løysing,weak solution,
