Bokmål,Nynorsk,Engelsk,"Merknad"
ikke-sammenlignbar<br>ikke-sammenliknbar<br>inkommensurabel,ikkje-samanliknbar<br>inkommensurabel,incommensurable,
dynkindiagram,dynkindiagram,Dynkin diagram,
reduktiv algebraisk gruppe,reduktiv algebraisk gruppe,reductive algebraic group,
ikke-triviell,ikkje-triviell,non-trivial,
lineæroperator,lineæroperator,linear operator,
ny prøvetaking,ny prøvetaking,resampling,
primtallspotens,primtalspotens,prime power,
nilradikal,nilradikal,nilradical,
partisjonert utvalgsrom,partisjonert utvalsrom,partitioned sample space,
metrisk rom,metrisk rom,metric space,
underbunt,underbunt,subbundle,
entydig faktorisering,eintydig faktorisering,unique factorization,
homomorfi,homomorfi,homomorphism,
delsamling,delsamling,subcollection,
normalplan,normalplan,normal plane,
allkvantor,allkvantor,universal quantifier,
øvre skranke,øvre skranke,upper bound,
genus,genus,genus,
komposisjonsfaktor,komposisjonsfaktor,composition factor,
generator,generator,generator,
trigonometri,trigonometri,trigonometry,
korteksakt følge,korteksakt følgje,short exact sequence,
ringen av gaussiske heltall,ringen av gaussiske heiltal,ring of Gaussian integers,
sammensatt funksjon,samansett funksjon,composite function,
kvartilbredde,kvartilbreidd,fourth spread,
likebeint trekant,likebeina trekant,isosceles triangle,
veihomotopiklasse,veghomotopiklasse,path homotopy class,
parametrisert,parametrisert,parametric,
konjunksjon,konjunksjon,conjunction,
gjensidig utelukkende,gjensidig utelukkande,mutually exclusive,"Gjensidig utelukkende hendelser kan også omtales som disjunkte."
lineæravbildning,lineæravbilding,linear map,
trofast funktor,trufast funktor,faithful functor,
triagonalisering,triagonalisering,triagonalization,
inverterbar,inverterbar,invertible,
metriserbar,metriserbar,metrizable,
summering,summering,summation,
femlemmaet,femlemmaet,five lemma,
homotopikategori,homotopikategori,homotopy category,
skalarfelt,skalarfelt,scalar field,
geometrisk,geometrisk,geometric,
funksjon,funksjon,function,
rasjonalt tall,rasjonalt tal,rational number,
surjeksjon,surjeksjon,surjection,
høyreadjungert funktor,høgreadjungert funktor,right adjoint functor,
initialverdiproblem<br>startverdiproblem,initialverdiproblem<br>startverdiproblem,initial value problem,
ikke-negativ,ikkje-negativ,non-negative,
homotopisk,homotopisk,homotopical,
konveks,konveks,convex,
linearisering,linearisering,linearization,
binomialfordeling<br>binomisk fordeling,binomialfordeling<br>binomisk fordeling,binomial distribution,
komplement,komplement,complement,
tverrsnittstudie,tverrsnittstudie,cross sectional study,
homotopiklasse,homotopiklasse,homotopy class,
stokastisk matrise,stokastisk matrise,stochastic matrix,
gruppe,gruppe,group,
geometrisk sted,geometrisk stad,locus,
logistisk kurve,logistisk kurve,logistic curve,
utsagnslogikk,utsegnslogikk,propositional logic,
parallellforskyvning,parallellforskyving,translation,
ellipse,ellipse,ellipse,
kombinatorisk,kombinatorisk,combinatorial,
underdiagonal,underdiagonal,subdiagonal,
autoregresjon,autoregresjon,autoregression,
fri oppløsning,fri oppløysing,free resolution,
fakultet,fakultet,factorial,
injektiv modul,injektiv modul,injective module,
kanonisk,kanonisk,canonical,
korrelert,korrelert,correlated,
kompaktifisering,kompaktifisering,compactification,
kontinuum,kontinuum,continuum,
hovedidealgruppe,hovudidealgruppe,group of principal fractional ideals,
pivotkolonne<br>pivotsøyle,pivotkolonne<br>pivotsøyle,pivot column<br>pivotal column,"Forstavelsen pivot uttales [pivå:’]."
